,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"왼쪽 끝 좌표: (0, 0), 중간 좌표: (96, 24), 끝 좌표(192, 48)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"정렬 텍스트: LEFT, CENTER, RIGHT, L, C, R 각각 왼쪽정렬, 가운데정렬, 오른쪽정렬",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"좌표 0~192, 0~48 범위를 벗어나더라도 렌더링이 가능합니다. 왼쪽 번호를 비우면 텍스트 다 적혀있어도 추가 안되게 가능합니다. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a붙이면 입체(a생략), b붙이면 벽면, c붙이면 한자들어간 교수님, d는 오른쪽에 표시되는 표지판(을 형식적으로 의미함, 결국 좌표 적는 사용자에게 달림)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,부족하면 더 적어도 작동합니다,,,,,
,영어는 소문자만 가능,,,,,,일반적으로 호실을 적습니다,,,,,,일반적으로 한글 이름을 적습니다,,,,,,일반적으로 영문 이름을 적습니다,,,,,,일반적으로 한글 이름을 적습니다,,,,,,일반적으로 영문 이름을 적습니다,,,,,
,번호,전체배율,translatex,translatey,텍스쳐,좌표갯수,x1,y1,텍스트1,배율,색,정렬1,x2,y2,텍스트2,배율,색,정렬2,x3,y3,텍스트3,배율,색,정렬3,x4,y4,텍스트4,배율,색,정렬4,x5,y5,텍스트5,배율,색,정렬5
,default,0.5,0,0,default,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,manb,0.5,0,0,man,3,,,,,,,140,10,남자화장실,1.75,#FFFFFF,RIGHT,140,29,Restroom for Men,0.75,#AAAAAA,RIGHT,,,,,,,,,,,,
,womanb,0.5,0,0,woman,3,,,,,,,140,10,여자화장실,1.75,#FFFFFF,RIGHT,140,29,Restroom for Women,0.75,#AAAAAA,RIGHT,,,,,,,,,,,,
,ps,0.25,0,0,default,1,96,17,PS실,2,#FFFFFF,CENTER,,,,,,,,,,,,,,,,,,,,,,,,
,ad,0.25,0,0,default,1,96,17,AD실,2,#FFFFFF,CENTER,,,,,,,,,,,,,,,,,,,,,,,,
,stair0,0.5,0,0,default,3,,,,,,,180,10,계단실,1.75,#FFFFFF,RIGHT,180,29,Staircase,0.75,#808080,RIGHT,,,,,,,,,,,,
,stair1,0.5,0,-0.3,default,3,,,,,,,180,10,계단실,1.75,#FFFFFF,RIGHT,180,29,Staircase,0.75,#808080,RIGHT,,,,,,,,,,,,
,08-101,0.5,0,0,default,3,184,30,08-101,1,#0000FF,RIGHT,10,10,기계제도실,1.75,#FFFFFF,LEFT,10,29,Mechanical Drawing Room,0.75,#808080,LEFT,,,,,,,,,,,,
,08-102,0.5,0,0,default,3,184,30,08-102,1,#0000FF,RIGHT,10,10,재료실험실,1.75,#FFFFFF,LEFT,10,29,Material Testing Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-103,0.5,0,0,default,3,184,30,08-103,1,#0000FF,RIGHT,10,10,기자재실,1.75,#FFFFFF,LEFT,10,29,Machine Parts Supply Room,0.75,#808080,LEFT,,,,,,,,,,,,
,08-104,0.5,0,0,default,3,184,30,08-104,1,#0000FF,RIGHT,10,10,기계공학과학생회실,1.75,#FFFFFF,LEFT,10,29,Students Association · Dept of Mechanical Engineering,0.45,#808080,LEFT,,,,,,,,,,,,
,08-104b,0.5,0,-0.5,default,3,148,15,08-104,1,#0000FF,LEFT,140,10,기계공학과학생회실,1.75,#FFFFFF,RIGHT,140,29,Students Association · Dept of Mechanical Engineering,0.45,#FFFFFF,RIGHT,,,,,,,,,,,,
,08-105,0.5,0,0,default,3,184,30,08-105,1,#0000FF,RIGHT,10,10,멀티스케일 유동제어 연구실-1,1.4,#FFFFFF,LEFT,10,29,Multi-Scale Flow Control Lab. - 1,0.75,#808080,LEFT,,,,,,,,,,,,
,08-106,0.5,0,0,default,3,184,30,08-106,1,#0000FF,RIGHT,10,10,신재생에너지연구실-2,1.75,#FFFFFF,LEFT,10,29,Renewable Energy Laboratory - 2,0.75,#808080,LEFT,,,,,,,,,,,,
,08-107,0.5,0,0,default,3,184,30,08-107,1,#0000FF,RIGHT,10,10,창  고,1.75,#FFFFFF,LEFT,10,29,Storage,0.75,#808080,LEFT,,,,,,,,,,,,
,08-108,0.5,0,0,default,3,184,30,08-108,1,#0000FF,RIGHT,10,10,탕 비 실,1.75,#FFFFFF,LEFT,10,29,Office Pantry,0.75,#808080,LEFT,,,,,,,,,,,,
,08-109,0.5,0,0,default,3,184,30,08-109,1,#0000FF,RIGHT,10,10,로봇 · 제어 · 사이버네틱스 연구실,1.2,#FFFFFF,LEFT,10,29,"Robotics, Control and Cybernetics Lab.",0.65,#808080,LEFT,,,,,,,,,,,,
,08-110,0.5,0,0,default,3,184,30,08-110,1,#0000FF,RIGHT,10,10,로봇 제어 실험실,1.75,#FFFFFF,LEFT,10,29,Robot Control Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-111,0.5,0,0,default,3,184,30,08-111,1,#0000FF,RIGHT,10,10,반도체에너지전달연구실,1.75,#FFFFFF,LEFT,10,29,Semiconductor Energy Transfer Lab.,0.65,#808080,LEFT,,,,,,,,,,,,
,08-112,0.5,0,0,default,3,184,30,08-112,1,#0000FF,RIGHT,10,10,세미나실,1.75,#FFFFFF,LEFT,10,29,Seminar Room,0.65,#808080,LEFT,,,,,,,,,,,,
,08-113,0.5,0,0,default,3,148,15,08-113,1,#0000FF,LEFT,140,10,전기공학과학생회실,1.75,#FFFFFF,RIGHT,140,29,Students Association · Dept of Electrical Engineering,0.45,#FFFFFF,RIGHT,,,,,,,,,,,,
,08-115,0.5,0,0,default,3,184,30,08-115,1,#0000FF,RIGHT,10,10,창  고,1.75,#FFFFFF,LEFT,10,29,Storage,0.75,#808080,LEFT,,,,,,,,,,,,
,08-116,0.5,0,0,default,3,184,30,08-116,1,#0000FF,RIGHT,10,10,탕 비 실,1.75,#FFFFFF,LEFT,10,29,Office Pantry,0.75,#808080,LEFT,,,,,,,,,,,,
,08-117b,0.5,0,-0.5,default,3,146,12,08-117,1,#0000FF,LEFT,138,10,세미나실,1.75,#FFFFFF,RIGHT,138,29,Seminar Room,0.75,#FFFFFF,RIGHT,,,,,,,,,,,,
,08-117,0.5,0,0,default,3,184,30,08-117,1,#0000FF,RIGHT,10,10,세미나실,1.75,#FFFFFF,LEFT,10,29,Seminar Room,0.75,#808080,LEFT,,,,,,,,,,,,
